2963	POST https://192.168.0.2:5001/webapi/query.cgi HTTP/2	SYNO.API.Info	query
2964	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.API.Encryption	getinfo
2965	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	(encrypted-login)	
2966	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Setting.MobileCompatibility	get
2967	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Entry.Request	request
2968	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Setting.Wizard	get
2969	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.Diff	get_version
2970	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Sharing.Misc	list_shared_with_me_album
2971	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.Category	get
2972	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Sharing.Misc	list_shared_with_me_album
2973	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.Album	list
2974	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.Person	list
2975	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.Geocoding	list
2976	?		
2977	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.GeneralTag	list
2978	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.RecentlyAdded	list
2979	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.Item	list
2980	?		
2981	?		
2982	?		
2983	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.FotoTeam.Browse.GeneralTag	list
2984	?		
2985	?		
2986	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.FotoTeam.Browse.Item	list
2987	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.Diff	get_version
2988	?		
2989	?		
2990	?		
2991	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.Item	list
2992	?		
2993	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.Diff	list_item
2994	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Entry.Request	request
2995	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Entry.Request	request
2996	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.Diff	list_item
2997	?		
2998	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Entry.Request	request
2999	?		
3000	?		
3001	?		
3002	?		
3003	?		
3004	?		
3005	?		
3006	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.Item	list
3007	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.Album	get
3008	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.Album	get
3009	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Entry.Request	request
3010	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.Album	get
3011	?		
3012	?		
3013	?		
3015	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.Album	get
3016	?		
3017	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2		
3018	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.Diff	list_item
3019	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.Item	list
3020	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.Album	get
3021	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Entry.Request	request
3022	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Entry.Request	request
3023	POST https://192.168.0.2:5001/webapi/entry.cgi HTTP/2	SYNO.Foto.Browse.Album	get
